StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
2;60201421;Venediger Au;Wien;49000001;163.965.357;482.179.090
3;60201892;Messe Prater;Wien;49000001;164.066.327;482.179.449
4;60201009;Perspektivstraße;Wien;49000001;164.013.057;482.179.689
5;60200195;Börse;Wien;49000001;163.648.611;482.157.841
7;60201848;Lassallestraße;Wien;49000001;163.937.688;482.195.490
8;60201349;Hauptbahnhof S U;Wien;49000001;163.749.761;481.859.187
9;60200619;Julius-Raab-Platz;Wien;49000001;163.825.669;482.103.428
10;60200245;Stubentor U, Dr.-Karl-Lueger-Platz;Wien;49000001;163.798.899;482.067.269
11;60201460;Weihburggasse;Wien;49000001;163.777.519;482.046.076
12;60201193;Schwarzenbergplatz;Wien;49000001;163.746.168;482.018.176
13;60200975;Oper, Karlsplatz U;Wien;49000001;163.700.893;482.023.325
14;60200190;Burgring;Wien;49000001;163.640.885;482.038.113
15;60200246;Ring, Volkstheater U;Wien;49000001;163.600.371;482.068.287
16;60200994;Parlament;Wien;49000001;163.601.090;482.082.715
17;60200192;Rathausplatz, Burgtheater;Wien;49000001;163.606.929;482.102.530
18;60201184;Schottentor U;Wien;49000001;163.621.481;482.137.250
19;60200195;Börse;Wien;49000001;163.661.277;482.155.567
20;60201182;Schottenring U;Wien;49000001;163.712.032;482.165.922
21;60201145;Salztorbrücke;Wien;49000001;163.737.544;482.141.500
22;60201198;Schwedenplatz U;Wien;49000001;163.778.597;482.115.760
23;60200619;Julius-Raab-Platz;Wien;49000001;163.833.394;482.111.869
26;;Praterstern S U;;;0000000000;0000000000
27;60201421;Venediger Au;Wien;49000001;163.973.082;482.179.809
28;60201009;Perspektivstraße;Wien;49000001;164.007.757;482.178.611
29;60201892;Messe Prater;Wien;49000001;164.066.327;482.178.671
30;60200274;Elderschplatz;Wien;49000001;164.118.429;482.178.971
31;60200196;Bösendorferstraße, Karlsplatz U;Wien;49000001;163.705.564;482.012.607
33;60200246;Ring, Volkstheater U;Wien;49000001;163.596.149;482.067.449
36;60201468;Westbahnhof S U;Wien;49000001;163.392.411;481.964.526
37;60201575;Schemmerlstraße;Wien;49000001;164.233.504;481.574.201
39;60201349;Hauptbahnhof S U;Wien;49000001;163.753.085;481.860.325
40;60200989;Karl-Popper-Straße;Wien;49000001;163.791.173;481.874.100
41;60200619;Julius-Raab-Platz;Wien;49000001;163.833.484;482.112.707
42;60201198;Schwedenplatz U;Wien;49000001;163.778.237;482.117.137
43;60201145;Salztorbrücke;Wien;49000001;163.742.125;482.138.447
44;60201182;Schottenring U;Wien;49000001;163.709.067;482.170.292
45;60200195;Börse;Wien;49000001;163.660.199;482.156.465
46;60201184;Schottentor U;Wien;49000001;163.618.068;482.137.310
47;60200192;Rathausplatz, Burgtheater;Wien;49000001;163.605.941;482.106.302
48;60200994;Parlament;Wien;49000001;163.600.641;482.089.600
49;60200246;Ring, Volkstheater U;Wien;49000001;163.599.113;482.067.090
50;60200190;Burgring;Wien;49000001;163.634.238;482.040.448
51;60200975;Oper, Karlsplatz U;Wien;49000001;163.686.879;482.024.343
52;60201193;Schwarzenbergplatz;Wien;49000001;163.746.886;482.016.858
53;60201460;Weihburggasse;Wien;49000001;163.776.082;482.043.202
54;60200245;Stubentor U, Dr.-Karl-Lueger-Platz;Wien;49000001;163.803.031;482.068.886
55;60200619;Julius-Raab-Platz;Wien;49000001;163.827.824;482.106.242
56;60200544;Hoher Markt;Wien;49000001;163.718.949;482.113.964
57;60200905;Hauptbahnhof Ost;Wien;49000001;163.805.995;481.845.112
58;60200905;Hauptbahnhof Ost;Wien;49000001;163.804.917;481.845.232
59;60201205;Schüttaustraße;Wien;49000001;164.171.520;482.309.078
60;60201205;Schüttaustraße;Wien;49000001;164.170.711;482.308.540
61;;Gänsehäufel;;;0000000000;0000000000
62;60201204;Schüttauplatz;Wien;49000001;164.230.539;482.265.334
63;60201209;Schödlbergergasse;Wien;49000001;164.208.351;482.281.970
64;60200411;Goethehof;Wien;49000001;164.191.103;482.295.494
65;60200641;Kaisermühlen VIC U;Wien;49000001;164.157.596;482.327.090
66;;Kaisermühlen VIC U;;;0000000000;0000000000
67;60201634;Seidelbastgasse;Wien;49000001;164.712.396;482.142.937
68;60201633;Stavangergasse;Wien;49000001;164.759.916;482.130.366
69;60201507;Haßlwanderweg;Wien;49000001;164.789.920;482.125.937
70;;Neue Donau Mitte;;;0000000000;0000000000
71;60201016;Alfred-Adler-Straße;Wien;49000001;163.808.690;481.829.060
72;60200641;Kaisermühlen, VIC U;Wien;49000001;164.155.350;482.328.406
73;60200411;Goethehof;Wien;49000001;164.190.025;482.294.178
74;60201209;Schödlbergergasse;Wien;49000001;164.207.273;482.281.551
75;;Schüttauplatz;;;0000000000;0000000000
76;60200883;Mauthausgasse;Wien;49000001;163.456.910;481.879.310
77;60202951;Haus des Meeres;Wien;49000001;163.548.269;481.979.496
78;;Siebenhirten;;;0000000000;0000000000
79;60201182;Schottenring U;Wien;49000001;163.716.793;482.163.827
81;60201193;Schwarzenbergplatz;Wien;49000001;163.747.425;482.010.931
83;60200260;Edmund-Hawranek-Platz;Wien;49000001;163.865.823;482.913.817
88;60200116;Beethovengang;Wien;49000001;163.627.770;482.597.722
89;60200457;Habsburgergasse;Wien;49000001;163.680.052;482.075.172
90;60200116;Beethovengang;Wien;49000001;163.627.051;482.595.210
91;60200948;Nußdorf S;Wien;49000001;163.668.374;482.601.311
92;60201231;Sickenberggasse;Wien;49000001;163.670.799;482.581.455
93;60200428;Grinzinger Straße;Wien;49000001;163.651.845;482.544.732
94;60200468;Halteraugasse;Wien;49000001;163.639.538;482.521.943
95;60200301;Heiligenstadt, 12.-Februar-Platz;Wien;49000001;163.627.680;482.491.556
96;60200439;Gunoldstraße;Wien;49000001;163.616.541;482.448.904
97;60201068;Rampengasse;Wien;49000001;163.606.929;482.412.351
98;60201062;Spittelau S U;Wien;49000001;163.567.672;482.359.939
99;60200786;Liechtenwerder Platz;Wien;49000001;163.565.067;482.325.773
100;60200099;Augasse;Wien;49000001;163.573.242;482.299.923
101;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;163.611.600;482.257.434
102;60200112;Bauernfeldplatz;Wien;49000001;163.607.019;482.210.992
103;60201169;Schlickgasse;Wien;49000001;163.642.772;482.186.931
104;60200099;Augasse  (Schleife);Wien;49000001;163.569.918;482.298.546
105;60201193;Schwarzenbergplatz;Wien;49000001;163.746.707;482.006.261
106;60200446;Gußhausstraße;Wien;49000001;163.754.791;481.971.412
107;60201025;Plößlgasse;Wien;49000001;163.769.344;481.947.161
108;60201173;Schloss Belvedere;Wien;49000001;163.789.556;481.920.992
109;60201346;Quartier Belvedere S;Wien;49000001;163.813.901;481.876.435
111;60201346;Quartier Belvedere S;Wien;49000001;163.815.158;481.877.034
112;60201173;Schloss Belvedere;Wien;49000001;163.793.329;481.917.219
113;60201025;Plößlgasse;Wien;49000001;163.773.476;481.943.568
114;60200446;Gußhausstraße;Wien;49000001;163.751.198;481.981.711
115;60200371;Seegasse;Wien;49000001;163.614.295;482.228.588
116;60201169;Schlickgasse;Wien;49000001;163.643.939;482.187.470
117;60200112;Bauernfeldplatz;Wien;49000001;163.608.905;482.206.802
118;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;163.611.331;482.257.913
119;60200099;Augasse;Wien;49000001;163.574.410;482.299.623
120;60200786;Liechtenwerder Platz;Wien;49000001;163.566.684;482.325.175
121;60201062;Spittelau S U;Wien;49000001;163.568.930;482.359.820
122;60201068;Rampengasse;Wien;49000001;163.604.413;482.406.847
123;60200439;Gunoldstraße;Wien;49000001;163.617.529;482.444.417
124;60200301;Heiligenstadt, 12.-Februar-Platz;Wien;49000001;163.626.961;482.487.309
125;60200468;Halteraugasse;Wien;49000001;163.638.639;482.516.679
126;60200428;Grinzinger Straße;Wien;49000001;163.653.282;482.544.791
127;60201231;Sickenberggasse;Wien;49000001;163.670.080;482.578.644
128;60200948;Nußdorf S;Wien;49000001;163.673.763;482.598.500
130;60200371;Seegasse;Wien;49000001;163.613.666;482.230.982
131;60200467;Eckpergasse;Wien;49000001;163.165.946;482.333.731
132;60200527;Hintere Zollamtsstraße;Wien;49000001;163.865.374;482.111.510
133;60200419;Gredlerstraße;Wien;49000001;163.795.126;482.138.866
134;60201198;Schwedenplatz U;Wien;49000001;163.777.339;482.117.975
135;60200034;Althanstraße;Wien;49000001;163.597.496;482.287.416
136;60200034;Althanstraße;Wien;49000001;163.592.286;482.289.570
137;60200520;Hietzing U;Wien;49000001;163.039.732;481.884.041
138;60201561;Cumberlandstraße;Wien;49000001;163.019.161;481.918.357
139;60200055;Ameisgasse;Wien;49000001;162.996.703;481.943.927
140;60200780;Leyserstraße;Wien;49000001;163.025.449;481.983.807
141;60200502;Herbeckstraße;Wien;49000001;163.170.258;482.324.517
142;60200026;Alsegger Straße;Wien;49000001;163.241.404;482.316.857
143;60200393;Gersthof S;Wien;49000001;163.289.644;482.315.481
144;60201461;Weinhauser Gasse;Wien;49000001;163.317.581;482.300.401
145;60200101;Aumannplatz;Wien;49000001;163.363.216;482.284.184
146;60200843;Martinstraße;Wien;49000001;163.417.744;482.266.471
147;60201510;Währinger Straße, Volksoper U;Wien;49000001;163.492.933;482.248.218
148;60201288;Spitalgasse;Wien;49000001;163.530.033;482.224.039
149;60201226;Sensengasse;Wien;49000001;163.555.455;482.207.042
150;60201197;Schwarzspanierstraße;Wien;49000001;163.590.490;482.173.404
151;60200889;Montleartstraße;Wien;49000001;163.021.497;482.024.702
152;60200187;Burgersteingasse;Wien;49000001;162.978.917;482.026.318
153;60200156;Breitenseer Straße, Braillegasse;Wien;49000001;162.950.709;482.027.755
154;60200156;Breitenseer Straße, Braillegasse;Wien;49000001;162.950.530;482.026.378
155;60200187;Burgersteingasse;Wien;49000001;162.979.905;482.025.181
156;60200889;Montleartstraße;Wien;49000001;163.021.766;482.023.564
157;60200780;Leyserstraße;Wien;49000001;163.022.215;481.978.179
158;60200055;Ameisgasse;Wien;49000001;162.995.176;481.947.221
159;60201561;Cumberlandstraße;Wien;49000001;163.017.364;481.923.088
160;60201210;Schöffelgasse;Wien;49000001;163.260.269;482.316.558
161;60200743;Landstraße, Wien Mitte S U;Wien;49000001;163.854.235;482.055.655
162;60200845;Marxergasse;Wien;49000001;163.865.554;482.071.760
163;60200527;Hintere Zollamtsstraße;Wien;49000001;163.870.315;482.108.636
164;60201063;Radetzkyplatz;Wien;49000001;163.895.378;482.109.774
165;60200513;Hetzgasse;Wien;49000001;163.927.627;482.085.768
166;60201071;Löwengasse;Wien;49000001;163.945.773;482.058.828
167;60201497;Wittelsbachstraße;Wien;49000001;163.994.013;482.061.163
168;60200486;Prater Hauptallee;Wien;49000001;164.052.763;482.088.821
169;60200486;Prater Hauptallee;Wien;49000001;164.062.554;482.091.695
170;60201497;Wittelsbachstraße;Wien;49000001;163.993.923;482.061.702
171;60201071;Löwengasse;Wien;49000001;163.954.487;482.057.571
172;60200513;Hetzgasse;Wien;49000001;163.931.490;482.082.236
173;60201063;Radetzkyplatz;Wien;49000001;163.906.517;482.104.027
174;60200527;Hintere Zollamtsstraße;Wien;49000001;163.874.717;482.111.510
175;60200845;Marxergasse;Wien;49000001;163.865.644;482.079.183
176;60200743;Landstraße, Wien Mitte S U;Wien;49000001;163.856.571;482.059.906
177;60200732;Kutschkergasse;Wien;49000001;163.449.813;482.261.204
178;60200054;Ameisbachzeile, Hanuschkrankenhaus;Wien;49000001;162.921.514;482.014.463
179;60200764;Lebingergasse;Wien;49000001;162.901.122;482.040.328
180;60200339;Flötzersteigbrücke;Wien;49000001;162.906.692;482.066.551
181;60200846;Matschgasse;Wien;49000001;162.908.129;482.087.085
182;60200983;Ottakringer Bad;Wien;49000001;162.890.971;482.113.066
183;60200846;Matschgasse;Wien;49000001;162.907.051;482.087.445
184;60200339;Flötzersteigbrücke;Wien;49000001;162.905.884;482.067.389
185;60200764;Lebingergasse;Wien;49000001;162.898.966;482.040.688
186;60200054;Ameisbachzeile, Hanuschkrankenhaus;Wien;49000001;162.921.335;482.012.068
187;60200732;Kutschkergasse;Wien;49000001;163.446.040;482.262.042
188;60201288;Spitalgasse;Wien;49000001;163.536.770;482.220.628
189;60201510;Währinger Straße, Volksoper U;Wien;49000001;163.493.831;482.248.637
190;60200843;Martinstraße;Wien;49000001;163.427.715;482.265.992
191;60200101;Aumannplatz;Wien;49000001;163.368.336;482.279.876
192;60201461;Weinhauser Gasse;Wien;49000001;163.318.210;482.301.299
193;60200393;Gersthof S;Wien;49000001;163.289.554;482.317.276
194;60200026;Alsegger Straße;Wien;49000001;163.247.064;482.316.917
195;60200502;Herbeckstraße;Wien;49000001;163.182.475;482.324.517
196;60200438;Guneschgasse;Wien;49000001;163.535.064;482.362.512
197;60200135;Döblinger Hauptstraße, Gatterburggasse;Wien;49000001;163.546.472;482.387.223
198;60201030;Pokornygasse;Wien;49000001;163.554.647;482.408.641
199;60200109;Barawitzkagasse;Wien;49000001;163.556.354;482.442.682
200;60201008;Perntergasse;Wien;49000001;163.551.862;482.487.189
201;60200540;Hohe Warte;Wien;49000001;163.555.725;482.510.159
202;60201008;Perntergasse;Wien;49000001;163.549.796;482.493.889
203;60200109;Barawitzkagasse;Wien;49000001;163.557.162;482.448.844
204;60201030;Pokornygasse;Wien;49000001;163.554.737;482.414.026
205;60200135;Döblinger Hauptstraße, Gatterburggasse;Wien;49000001;163.546.472;482.390.932
206;60200438;Guneschgasse;Wien;49000001;163.535.872;482.368.196
207;60200405;Glatzgasse;Wien;49000001;163.528.506;482.339.236
208;60200950;Nußdorfer Straße U;Wien;49000001;163.536.860;482.323.918
209;60200202;Canisiusgasse;Wien;49000001;163.547.460;482.282.628
210;60200029;Nußdorfer Straße / Alserbachstraße;Wien;49000001;163.546.921;482.251.689
211;60201288;Spitalgasse;Wien;49000001;163.533.536;482.225.715
